# coding: utf-8
# 小鹤音形用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 三码二四字词补全放本文件内，不需要可删除
# 用户词库，下行开始添加，编码格式见上，部署后生效


# 全码词
单元	djyr
反思	fjsi
打架	dajx
叫唤	jnhr
尝尝	ihih
背景	bwjk
伤害	uhhd
程度	igdu
附件	fujm
世纪	uiji
假如	jxru
统一	tsyi
不再	buzd
猥琐	wwso
险恶	xmee
恶毒	eedu
达到	dadc
回复	hvfu
指定	vidk
链接	lmjp
束缚	uufu
征服	vgfu
歧视	qiui
为止	wwvi
瑕疵	xxci
微信	wwxb
世纪	uiji
毛衣	mcyi
一唱一和	yiyh
妥妥当当	ttdd
转圜	vrhr
反悔	fjhv
补全	buqr
整句	vgju
政权	vgqr
神祇	ufqi
距离	juli
音形	ybxk
想想	xlxl
导出	dciu
把守	bauz
把戏	baxi
报仇	bciz
宝剑	bcjm
报幕	bcmu
保鲜	bcxm
拜年	bdnm
摆脱	bdto
鼻塞	bise
编程	bmig
辩解	bmjp
便签	bmqm
表哥	bnge
博学	boxt
波音	boyb
憋屈	bpqu
背部	bwbu
博而不精	bebj
白日飞升	brfu
不着边际	bvbj
采风	cdfg
猜忌	cdji
伺候	cihz
餐馆	cjgr
残局	cjju
惨死	cjsi
撺掇	crdo
存管	cygr
搭车	daie
打理	dali
达摩	damo
倒逼	dcbi
呆板	ddbj
代购	ddgz
带回	ddhv
代驾	ddjx
得志	devi
得以	deyi
登记	dgji
当期	dhqi
当众	dhvs
地痞	dipi
淡季	djji
顶住	dkvu
屌丝	dnsi
跌价	dpjx
断点	drdm
短篇	drpm
短线	drxm
动机	dsji
独唱	duih
独自	duzi
对账	dvvh
嘟嘟囔囔	ddnn
儿媳	erxi
发火	faho
发力	fali
发型	faxk
发炎	fayj
分割	ffge
粉红	ffhs
分界	ffjp
奋力	ffli
分神	ffuf
风力	fgli
奉献	fgxm
访客	fhke
放手	fhuz
防伪	fhww
反腐	fjfu
凡人	fjrf
反之	fjvi
抚慰	fuww
废了	fwle
费时	fwui
飞舞	fwwu
分门别类	fmbl
